Name,Product_ID,Date,Sales,Revenue,EndOfDayStock
FRITEUZA DUBLA ELECTRICA DE BANC F8070E ,20878,2010-08-15,12,15.0,8
FRITEUZA ELECTRICA PE SUPORT 12L,20840,2010-03-01,48,40.8,16
FRITEUZA ELECTRICA PE SUPORT 12L,20840,2010-03-02,12,10.2,4
MASA DIN INOX CU SPALATOR 1000X600X850 MM MS6P-10-1404025,20765,2009-12-01,32,94.4,21
MASA DIN INOX CU SPALATOR 1400X700X850 MM MS7P-14-1505033,20697,2010-03-04,6,12.6,3
MASA DIN INOX CU SPALATOR 1400X700X850 MM MS7P-14-1505046,20697,2011-11-13,3,7.65,1
MASA DIN INOX CU SPALATOR 1400X700X850 MM MS7P-14-1505047,20697,2011-11-23,2,5.1,0
DOZATOARE,20857,2010-08-05,11,18.15,10
DOZATOARE,20857,2010-08-15,5,8.25,3
DOZATOARE,20857,2010-09-21,3,4.95,0
DOZATOARE,20857,2010-10-18,7,11.55,0
DOZATOARE,20857,2010-10-22,7,11.55,4
DOZATOARE,20857,2010-10-24,4,6.6,0
DOZATOARE,20857,2010-10-25,3,4.95,1
DOZATOARE,20857,2010-10-31,1,1.65,0
DOZATOARE,20857,2010-11-03,5,8.25,2
DOZATOARE,20857,2010-11-04,2,3.3,0
DOZATOARE,20857,2010-11-07,2,3.3,1
DOZATOARE,20857,2010-11-14,1,1.65,0
DOZATOARE,20857,2010-11-21,3,4.95,0
DOZATOARE,20857,2010-12-07,12,19.8,0
DOZATOARE,20857,2010-12-14,2,3.3,0
DOZATOARE,20857,2011-01-06,15,24.75,0
DOZATOARE,20857,2011-02-15,4,6.6,0
DOZATOARE,20857,2011-02-17,1,1.65,0
